pname,society,price_outer,price_per_sqft,possesion,description,Area,Floor Number,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,Floor_On,Total_Floors,area
"3 BHK Flat in Misrod, Bhopal",globus coral woods,60.0,5692,Under Construction,This is a very nice flat in coral woods location on hoshangabad road.,"Built Up area: 1054
(97.92 sq.m.)  
sq.ft.",4th   of 6 Floors,NA,,"['3 Fan', '3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Water softening plant']","Pool,Others,Park/Garden,Club,Main Road",3,3,2, pooja room,4,6,1054.11
"2 BHK Flat in Ashoka Garden, Bhopal",glorious tower samrat colony,17.0,3238,Ready To Move,Hi i am the property owner this property is best property and freehold ready to move . This property is very beautiful and compeletly good environment.,"Built Up area: 525
(48.77 sq.m.)  
sq.ft.",2nd   of 4 Floors,NA,1 to 5 Year Old,,,,2,2,2,Not Available,2,4,525.02
"2 BHK Flat in Indrapuri, Bhopal",shridhar mohini parisar,22.0,3666,Ready To Move,"Good public transport, markets at walkable distance, happening place, high rental yield, good for investment, globus university in vicinity, spacious and airy apartment","Built Up area: 780
(72.46 sq.m.)
Carpet area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.",3rd   of 4 Floors,NA,10+ Year Old,,"['Water Storage', 'Recently Renovated', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre']",Main Road,2,2,1,Not Available,3,4,600.11
"4 BHK Flat in Kolar Road, Bhopal",danish hills view,85.0,4358,Under Construction,"Situated in kolar road, bhopal, danish hills view is a well planned society that offers a pleasant living experience to its residents. This 4 bhk flat in bhopal is your opportunity to be a part of this community. This property faces the east direction. The flat occupies a built up area of 1950 sq.Ft. That consists of 4 bedrooms, 3 bathrooms and 1 balcony. The residential building has 6 floors in total and the flat for sale is located on the 3rd floor. The flat is currently under construction stage and you can expect to get the possession of the property by 2029. The beautifully designed others flooring enhances the beauty of the flat. All the modern amenities such as swimming pool, fitness centre / gym, club house / community center, park, cctv surveillance and lift(s) will make life easier for you. The residents of this project enjoy a 24*7 access to clean water.","Built Up area: 1950
(181.16 sq.m.)
Carpet area: 1306 sq.ft. (121.33 sq.m.)  
sq.ft.",3rd   of 6 Floors,East,,,"['Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",Park/Garden,4,3,1,Not Available,3,6,1950.44
"3 BHK Flat in Salaiya, Bhopal",lila atulyam,57.0,3071,Ready To Move,"Leela atulyam premium residential project, salaiya, bhopal","Super Built up area 1856
(172.43 sq.m.)
Built Up area: 1375 sq.ft. (127.74 sq.m.)  
sq.ft.",7th   of 7 Floors,NA,1 to 5 Year Old    View Construction Status,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Rain Water Harvesting']",Park/Garden,3,3,2,Not Available,7,7,1856.07
"4 BHK Flat in Arera Colony, Bhopal",topaz,60.0,4000,Ready To Move,"Big size 4bhk flat for sale 1900sq.Ft. Rohit nagar, salliya ,bhopal (Near akriti ecocity & world way international school)","Built Up area: 1864
(173.17 sq.m.)
Carpet area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.",5th   of 6 Floors,East,5 to 10 Year Old,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Rain Water Harvesting']",Park/Garden,4,3,2," pooja room,servant room",5,6,1500.0
"3 BHK Flat in Bawadia Kalan, Bhopal",nikhil devalaya pristine,68.0,4689,Ready To Move,"Nikhil devalaya pristine is one of the most popular destination for buying apartments/ flats in bawadia kalan, bhopal. You too can be a part of this society by purchasing this 3 bhk flat here. The flat is facing the east direction. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a super built up area of 1850 sq.Ft. This flat is situated on the top floor of this 6 floors tall residential building. As the project is already ready to move, so you can easily move into this 1-5 years old property. Many of the modern amenities being offered, like maintenance staff, visitor parking, park and lift(s), will provide a pleasant living experience for you.","Super Built up area 1850
(171.87 sq.m.)
Carpet area: 1450 sq.ft. (134.71 sq.m.)  
sq.ft.",6th   of 6 Floors,East,1 to 5 Year Old,"['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '2 Geyser', '14 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Pool,Park/Garden,Club,Others,Sea facing,Main Road",3,3,2,Not Available,6,6,1450.2
"3 BHK Flat in Salaiya, Bhopal",rudraksh kasturi,68.0,3885,Ready To Move,"Check out this 3 bhk apartment for sale in rudraksh kasturi, a popular residential project that houses in-Demand flats in salaiya, bhopal. The flat is east-Facing. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1750 sq.Ft. This flat lies on the 5th level of a 10 storey building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The beautifully designed mosaic flooring enhances the beauty of the flat. All the modern amenities such as swimming pool, fitness centre / gym, club house / community center, park, lift(s), maintenance staff and visitor parking will make life easier for you. Municipal corporation and borewell/tank provides a regular supply of water to this residential project.","Super Built up area 1750
(162.58 sq.m.)  
sq.ft.",5th   of 10 Floors,East,1 to 5 Year Old,,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","Pool,Club,Park/Garden,Others,Main Road",3,3,2,Not Available,5,10,1750.32
"3 BHK Flat in Hoshangabad Road, Bhopal",mirchandani shalimar fortleza,110.00000000000001,10566,Ready To Move,"This 3 bhk apartment is available for sale in mirchandani shalimar fortleza, one of the most prominent projects for flats in hoshangabad road, bhopal. This property faces the east direction. The flat occupies a super built up area of 1800 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. The property is located on the 9th floor of a 15 floors tall building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. All the modern amenities such as swimming pool, fitness centre / gym, club house / community center, park, cctv surveillance, lift(s), visitor parking and maintenance staff will make life easier for you. The society provides continuous water supply from municipal corporation and borewell/tank.","Super Built up area 1800
(167.23 sq.m.)
Carpet area: 1041 sq.ft. (96.71 sq.m.)  
sq.ft.",9th   of 15 Floors,East,1 to 5 Year Old    View Construction Status,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '12 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","Pool,Park/Garden,Club,Others,Main Road,Sea facing",3,3,3,Not Available,9,15,1041.08
"3 BHK Flat in Kolar Road, Bhopal",unitech unihomes,33.0,2543,Ready To Move,Ready to move corner 3bhk flat in first floor with reserved car parking,"Super Built up area 1297.63
(120.55 sq.m.)
Carpet area: 981 sq.ft. (91.14 sq.m.)  
sq.ft.",1st   of 6 Floors,North,1 to 5 Year Old,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Rain Water Harvesting']","Park/Garden,Main Road",3,2,3,Not Available,1,6,1297.68
"4 BHK Flat in Misrod, Bhopal",globus coral woods,105.0,4823,Ready To Move,"This beautiful 4 bhk flat in misrod, bhopal is situated in globus coral woods, one of the popular residential society in bhopal. This residential flat is east-Facing direction. Containing 4 bedroom(s), 4 bathrooms and 2 balconies, this flat is spread over a super built up area of 2177 sq.Ft. This flat lies on the top level of a 6 storey building. This is a ready to move project and the property is 0-1 year old. The others flooring of this flat is beautifully designed and helps to give it a pleasing look. This residential property is situated near close to metro station, close to hospital, close to market and close to school. Globus coral woods is designed very well to provide modern facilities such as swimming pool, fitness centre / gym, park, lift(s), maintenance staff and visitor parking. The housing society ensures a continuous supply of water to your flat from municipal corporation and borewell/tank.","Super Built up area 2177
(202.25 sq.m.)
Carpet area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.",6th   of 6 Floors,East,0 to 1 Year Old    View Construction Status,"['2 Wardrobe', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Rain Water Harvesting']","Pool,Park/Garden,Club,Sea facing,Others,Main Road",4,4,2, servant room,6,6,2177.07
"4 BHK Flat in Hoshangabad Road, Bhopal",agrawal sagar pearl,125.0,11363,Ready To Move,"Agrawal sagar pearl is one of the most popular destination for buying apartments/ flats in hoshangabad road, bhopal. You too can be a part of this society by purchasing this 4 bhk flat here. This residential flat is east-Facing direction. The flat is over 1100 sq.Ft. Carpet area and comes with 4 bedroom(s), 4 bathrooms and more than 3 balconies. The flat has a total of 8 floors and this property is situated on 2nd floor. This is a ready to move project and the property is 1-5 years old. The beautifully designed vitrified flooring enhances the beauty of the flat. Another plus point for this is that it is situated near close to metro station, close to hospital, close to school and close to market. Agrawal sagar pearl is designed very well to provide modern facilities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre, grocery shop, cctv surveillance, maintenance staff and visitor parking. The society provides continuous water supply from borewell/tank and municipal corporation.","Carpet area: 1100
(102.19 sq.m.)  
sq.ft.",2nd   of 8 Floors,East,1 to 5 Year Old,"['2 Wardrobe', '1 Exhaust Fan', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","Park/Garden,Others,Main Road,Pool,Club,Sea facing",4,4,3,Not Available,2,8,1100.06
"3 BHK Flat in MP Nagar, Bhopal",keelandev apartments,200.0,11331,Ready To Move,3.5bhk flat sale Prime location Keelandev tower Near by db mall,"Super Built up area 1765
(163.97 sq.m.)  
sq.ft.",4th   of 10 Floors,East,0 to 1 Year Old,"['3 Wardrobe', '3 Fan', '1 Exhaust Fan', '1 Dining Table', '3 Light', '1 Chimney', '1 Curtains', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Pool,Main Road,Park/Garden,Others",3,3,2, servant room,4,10,1765.07
"3 BHK Flat in Hoshangabad Road, Bhopal",sagar pearl phase 2,65.0,4126,Ready To Move,"Located in the popular residential address of hoshangabad road, bhopal, sagar pearl phase 2 is one of the most preferred destination for apartments in bhopal. This 3 bhk flat is your ticket to be a part of this community. This is a east-Facing property. The flat occupies a super built up area of 1575 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 2 balconies. The residential building has 8 floors in total and the flat for sale is located on the 5th floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The society is well equipped with many modern amenities, including swimming pool, fitness centre / gym, club house / community center, shopping centre, grocery shop, cctv surveillance, visitor parking, maintenance staff, park and lift(s). The housing society ensures a continuous supply of water to your flat from borewell/tank and municipal corporation.","Super Built up area 1575
(146.32 sq.m.)  
sq.ft.",5th   of 8 Floors,East,1 to 5 Year Old,"['2 Wardrobe', '4 Fan', '1 Exhaust Fan', '1 Geyser', '21 Light', '1 Curtains', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","Pool,Park/Garden,Club,Main Road,Others,Sea facing",3,3,2,Not Available,5,8,1575.38
"3 BHK Flat in Kolar Road, Bhopal",danish hills view,50.0,4212,Ready To Move,Residential apartment This is your chance to a 3 bhk apartment / flat for sale in danish hills view kolar road bhopal . Where luxury comes with affordability.,"Carpet area: 1187
(110.28 sq.m.)  
sq.ft.",2nd   of 6 Floors,West,5 to 10 Year Old,"['4 Fan', '1 Exhaust Fan', '1 Geyser', '7 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Visitor Parking']",Main Road,3,2,1, view floor plan,2,6,1187.08
"4 BHK Flat in Tulsi Nagar, Bhopal",tulsi tower,450.0,16363,Ready To Move,4.5bhk spacious luxury Flat for sale Coverd campus society Near by char imli,"Carpet area: 2750
(255.48 sq.m.)  
sq.ft.",3rd   of 13 Floors,East,1 to 5 Year Old,"['1 Water Purifier', '2 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '4 Geyser', '1 Stove', '1 Light', '1 Chimney', '1 TV', '1 Curtains', '5 AC', '1 Modular Kitchen', '5 Wardrobe', '4 Bed', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Pool,Main Road,Park/Garden,Others,Club,Sea facing",4,5,3, servant room,3,13,2750.11
"2 BHK Flat in Danish Kunj, Bhopal",citi vistaar,42.0,2663,Ready To Move,Flat for sale 1577 sqft 3 bhk 4th floor total floor 6 2 master bedroom 1 common washroom 2 balcani Facing east Covered campus Behind narayana institute sunkhedi kolar road Demand 42 lakhs,"Carpet area: 1577
(146.51 sq.m.)  
sq.ft.",4th   of 6 Floors,East,1 to 5 Year Old,"['1 Wardrobe', '1 Water Purifier', '3 Fan', '1 Geyser', '5 Light', '1 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","Main Road,Park/Garden",2,2,2," pooja room,study room,others,servant room",4,6,1577.17
"2 BHK Flat in Hoshangabad Road, Bhopal",fortune kasturi,35.0,2696,Ready To Move,"This 2 bhk apartment is available for sale in fortune kasturi, one of the most prominent projects for flats in hoshangabad road, bhopal. This residential flat is east-Facing direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1298 sq.Ft. The flat has a total of 6 floors and this property is situated on 4th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. Moreover, this property offers close proximity to important landmarks such as close to metro station, close to hospital, close to railway station and close to market. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre, cctv surveillance, lift(s), maintenance staff and visitor parking. The project provides access to clean water through municipal corporation and borewell/tank supply.","Super Built up area 1298
(120.59 sq.m.)  
sq.ft.",4th   of 6 Floors,East,0 to 1 Year Old    View Construction Status,"['1 Wardrobe', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","Pool,Club,Park/Garden,Main Road,Others,Sea facing",2,2,2,Not Available,4,6,1298.22
